JuegoNorm,Año,PremiosUSD,Torneos
dota2,2017,38074599.32,167
dota2,2018,41545790.86000001,182
dota2,2019,47108906.809999995,234
dota2,2020,10126576.47,174
dota2,2021,47964064.37,100
dota2,2022,32954188.52,125
dota2,2023,30797380.35,124
dota2,2024,18622474.43,64
dragon ball fighterz,2018,132741.37,30
dragon ball fighterz,2019,135052.77,44
dragon ball fighterz,2020,94391.99,39
dragon ball fighterz,2021,11548.32,31
dragon ball fighterz,2022,74464.68,22
dragon ball fighterz,2023,54570.0,9
dragon ball fighterz,2024,16146.39,8
dream three kingdoms 2,2023,0.0,1
duck game,2020,250.0,1
duck game,2021,500.0,1
ea fc,2023,539674.2,38
ea fc,2024,6816757.140000001,38
ea sports fc online,2023,191089.21000000002,4
ea sports fc online,2024,522586.58,7
echo arena,2017,47969.76,2
echo arena,2018,82692.56,2
echo arena,2019,38700.0,1
echo arena,2020,1700.0,5
echo arena,2021,9440.0,6
echo arena,2022,13230.0,6
echo combat,2019,46800.0,1
efootball,2020,147000.0,3
efootball,2021,240000.0,6
efootball,2022,105000.0,5
epic roller coasters vr,2023,1000.0,1
escape from tarkov,2020,114600.0,4
eternal fighter zero,2020,1311.6,2
ev.io,2022,20000.0,2
f1 2018,2018,200000.0,1
f1 2019,2019,500000.0,1
f1 2019,2020,38047.38,1
f1 2020,2020,751947.0,2
f1 2020,2021,288.0,1
f1 2021,2021,750000.0,1
f1 2021,2022,15939.0,3
f1 22,2022,750000.0,1
f1 22,2023,324.0,1
faeria,2018,4100.0,5
fall guys,2020,284273.83,5
fall guys,2021,50000.0,1
fall guys,2022,6000.0,1
fantasy strike,2020,3860.0,3
fantasy strike,2021,1939.8,2
farming simulator 19,2019,106133.1,8
farming simulator 19,2020,189253.44999999998,6
farming simulator 19,2021,276447.32999999996,10
farming simulator 19,2022,101434.0,7
farming simulator 19,2023,16350.02,1
farming simulator 22,2023,48654.04,4
farming simulator 22,2024,133009.35,5
fifa 16,2016,95694.5,18
fifa 17,2016,35502.44,5
fifa 17,2017,1452306.64,44
fifa 18,2017,44545.55,8
fifa 18,2018,2189152.14,39
fifa 19,2018,551731.35,19
fifa 19,2019,2724631.44,32
fifa 19,2020,11324.0,2
fifa 20,2019,476358.96,21
fifa 20,2020,2122284.6,47
fifa 21,2020,225947.98,6
fifa 21,2021,4507311.13,55
fifa 22,2021,229185.96000000002,15
fifa 22,2022,4346488.069999999,60
fifa 23,2022,5000.0,1
fifa 23,2023,6192022.16,98
fifa online 3,2016,835082.4,3
fifa online 3,2017,408869.99,10
fifa online 3,2018,237112.5,1
fifa online 4,2018,304933.49,5
fifa online 4,2019,553615.95,7
fifa online 4,2020,574402.6,15
fifa online 4,2021,812685.96,15
fifa online 4,2022,1040076.48,15
fifa online 4,2023,801803.8500000001,11
fight of animals,2020,580.68,3
fight of animals,2021,50.0,1
fighter's history dynamite,2019,195.0,1
fighting ex layer,2018,1260.0,4
fighting ex layer,2019,372.96000000000004,2
fighting ex layer,2020,10.0,1
fortnite,2018,19933737.0,179
fortnite,2019,80686809.01,503
fortnite,2020,17896592.740000002,375
fortnite,2021,23032953.3,214
fortnite,2022,18671068.05,404
fortnite,2023,19720437.87,461
fortnite,2024,11071100.719999999,157
forza horizon 5,2022,25000.0,11
forza motorsport (2023),2024,59750.0,5
forza motorsport 6,2016,39850.0,7
forza motorsport 6,2017,132750.0,2
forza motorsport 7,2018,255000.0,4
forza motorsport 7,2019,366200.0,5
